Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Population, total [SP.POP.TOTL]"
2001,YR2001,Afghanistan,AFG,2813571753.87253,138.706821676113,..,20284307
2001,YR2001,Albania,ALB,4059064033.13379,1326.41652388077,64.2474462587009,3060173
2001,YR2001,Algeria,DZA,59413400923.6364,1896.30020878013,54.5296491177208,31331221
2001,YR2001,American Samoa,ASM,..,..,..,57053
2001,YR2001,Andorra,AND,1548265808.05802,23511.2951475737,..,65852
2001,YR2001,Angola,AGO,8936079117.73136,533.586202412447,..,16747208
2001,YR2001,Antigua and Barbuda,ATG,877774074.074074,11539.1825063308,..,76069
2001,YR2001,Argentina,ARG,268696750000,7141.47507662826,21.8522554515453,37624825
2001,YR2001,Armenia,ARM,2118467913.37873,659.588988535629,69.8642663925336,3211800
2001,YR2001,Aruba,ABW,1896456983.24022,20740.1325828172,140.391108618306,91439
2001,YR2001,Australia,AUS,379629301675.108,19695.7297379144,44.2187044989977,19274701
2001,YR2001,Austria,AUT,196477206829.33,24430.495982841,87.9962567186047,8042293
2001,YR2001,Azerbaijan,AZE,5707616203.72011,703.670998584686,78.8151854917601,8111200
2001,YR2001,"Bahamas, The",BHS,8317830000,25371.9237667614,72.5008806383396,327836
2001,YR2001,Bahrain,BHR,8976196808.51064,13573.2339887597,127.026266277537,661316
2001,YR2001,Bangladesh,BGD,53991289844.3291,394.65641001891,32.0980170730117,136805810
2001,YR2001,Barbados,BRB,3054500000,11639.5160522054,..,262425
2001,YR2001,Belarus,BLR,12354820143.8849,1244.37318523431,137.044930473063,9928549
2001,YR2001,Belgium,BEL,236746141604.37,23015.0712632462,139.576839834619,10286570
2001,YR2001,Belize,BLZ,1172800000,4721.81625660785,93.1105047748977,248379
2001,YR2001,Benin,BEN,3666222635.13875,492.401499509072,48.2571706392197,7445596
2001,YR2001,Bermuda,BMU,3680483000,59490.2452034202,..,61867
2001,YR2001,Bhutan,BTN,496110225.710307,812.238210772056,71.0945747295588,610794
2001,YR2001,Bolivia,BOL,8141516928.39489,930.168227214313,45.2278224315522,8752736
2001,YR2001,Bosnia and Herzegovina,BIH,5800615466.26648,1387.89365131544,86.0357326558687,4179438
2001,YR2001,Botswana,BWA,5489608299.66445,3206.07123689853,87.5250655680957,1712254
2001,YR2001,Brazil,BRA,559983634798.981,3176.28935747524,26.936285022064,176301203
2001,YR2001,British Virgin Islands,VGB,..,..,..,20796
2001,YR2001,Brunei Darussalam,BRN,6096155747.56182,18287.8271687345,91.0997879158665,333345
2001,YR2001,Bulgaria,BGR,14183446025.7389,1770.90704918691,79.0813687477668,8009142
2001,YR2001,Burkina Faso,BFA,3190371080.94768,259.485223380436,31.6581708148511,12295001
2001,YR2001,Burundi,BDI,876794723.068586,132.159554541932,20.9640456147222,6634365
2001,YR2001,Cabo Verde,CPV,563090490.377368,1223.33055331575,92.1637224974152,460293
2001,YR2001,Cambodia,KHM,4145665969.92864,327.500984314444,111.771741244001,12658484
2001,YR2001,Cameroon,CMR,10953485349.1135,715.470296470585,51.5722691890366,15309490
2001,YR2001,Canada,CAN,738981792355.372,23822.096210932,78.3442183943698,31020855
2001,YR2001,Cayman Islands,CYM,..,..,..,41089
2001,YR2001,Central African Republic,CAF,932648604.751954,237.951702544735,39.7304997372329,3919487
2001,YR2001,Chad,TCD,1710843377.00119,194.32295331156,64.3219080406854,8804124
2001,YR2001,Channel Islands,CHI,6232906290.4851,41873.7406146127,..,148850
2001,YR2001,Chile,CHL,71574739561.4329,4563.5952986689,62.1447669687645,15683849
2001,YR2001,China,CHN,1355036590251.52,1065.40597574519,38.0826469518334,1271850000
2001,YR2001,Colombia,COL,98200641203.3892,2472.99084035833,33.9011117949445,39709262
2001,YR2001,Comoros,COM,378512024.077556,691.699908770798,35.7572288808942,547220
2001,YR2001,"Congo, Dem. Rep.",COD,7438189100.33333,142.678142604412,25.0419375138391,52132646
2001,YR2001,"Congo, Rep.",COG,2796704604.03812,854.598314408095,130.732481081873,3272537
2001,YR2001,Costa Rica,CRI,15976174336.9721,3985.12984506207,80.852758718109,4008947
2001,YR2001,Cote d'Ivoire,CIV,16810537043.8407,924.727294962066,53.1141047180447,18178913
2001,YR2001,Croatia,HRV,23066883849.6467,5364.83824691607,79.4405856034588,4299642
2001,YR2001,Cuba,CUB,31682400000,2842.96704310394,29.3610963815873,11144132
2001,YR2001,Curacao,CUW,2143450726.25698,16609.8454536485,..,129047
2001,YR2001,Cyprus,CYP,10397898907.1038,14821.44921875,131.849067868114,964127
2001,YR2001,Czechia,CZE,68135304463.9641,6669.07494847497,98.5368737300189,10216605
2001,YR2001,Denmark,DNK,164881594415.341,30768.4775471112,83.922664599029,5358783
2001,YR2001,Djibouti,DJI,572417440.820162,742.133791107063,..,771313
2001,YR2001,Dominica,DMA,377462962.962963,5527.51527300496,..,68288
2001,YR2001,Dominican Republic,DOM,25601823687.5742,2935.89367312668,70.5105678080061,8720283
2001,YR2001,Ecuador,ECU,23127055000,1791.30359685037,56.128486744205,12910740
2001,YR2001,"Egypt, Arab Rep.",EGY,96684636118.5984,1295.1374184163,39.8104265402844,74652029
2001,YR2001,El Salvador,SLV,12282533600,2058.04459070452,65.8907385362251,5968060
2001,YR2001,Equatorial Guinea,GNQ,1461139022.02954,1948.61145907844,..,749836
2001,YR2001,Eritrea,ERI,752371688.743186,325.409161513593,72.0627109589752,2312079
