Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Population, total [SP.POP.TOTL]"
2002,YR2002,Afghanistan,AFG,3825701438.99963,178.954088379235,..,21378117
2002,YR2002,Albania,ALB,4515003116.68036,1479.83884572006,65.9914650336802,3051010
2002,YR2002,Algeria,DZA,61516103406.1688,1937.46411413019,56.5896052814114,31750835
2002,YR2002,American Samoa,ASM,512000000,8972.69636535698,210.9375,57062
2002,YR2002,Andorra,AND,1764279824.29752,26528.130158144,..,66506
2002,YR2002,Angola,AGO,15285592370.374,882.147847234303,105.301742600149,17327699
2002,YR2002,Antigua and Barbuda,ATG,898092592.592592,11658.6949915956,..,77032
2002,YR2002,Argentina,ARG,97724004251.8602,2569.69963519124,41.7527243585642,38029349
2002,YR2002,Armenia,ARM,2376335048.39976,742.651118319819,73.9845018432309,3199800
2002,YR2002,Aruba,ABW,1961843575.41899,21307.2482505267,133.230771421249,92074
2002,YR2002,Australia,AUS,395788696012.059,20301.8431713256,41.4490922022193,19495210
2002,YR2002,Austria,AUT,212837224022.813,26334.862215032,87.5844937054619,8081957
2002,YR2002,Azerbaijan,AZE,6236087738.28284,763.108895463487,92.8181443298969,8171950
2002,YR2002,"Bahamas, The",BHS,8881160000,26781.6195938652,70.2779817050926,331614
2002,YR2002,Bahrain,BHR,9593510638.29787,13501.4708801425,131.133634216392,710553
2002,YR2002,Bangladesh,BGD,54724081490.5102,393.886422327628,28.9673807211649,138933658
2002,YR2002,Barbados,BRB,3106500000,11760.4524736133,..,264148
2002,YR2002,Belarus,BLR,14594900944.7658,1479.38066337175,131.002058282291,9865548
2002,YR2002,Belgium,BEL,258383599375.177,25006.191397109,136.085149488081,10332785
2002,YR2002,Belize,BLZ,1244650000,4861.74314184267,92.9980315751416,256009
2002,YR2002,Benin,BEN,4194342686.2178,546.463829658159,43.7684225364311,7675426
2002,YR2002,Bermuda,BMU,3937228000,63358.5658652763,..,62142
2002,YR2002,Bhutan,BTN,559345263.708309,895.799489930972,70.2833172005966,624409
2002,YR2002,Bolivia,BOL,7905485146.44351,888.221328974352,49.3502603725957,8900355
2002,YR2002,Bosnia and Herzegovina,BIH,6728220886.64546,1606.54672243362,78.727479488695,4188002
2002,YR2002,Botswana,BWA,5438863982.88692,3117.25087183011,91.8357740585774,1744763
2002,YR2002,Brazil,BRA,509795273806.715,2855.94018885769,27.6183574022309,178503484
2002,YR2002,British Virgin Islands,VGB,..,..,..,21430
2002,YR2002,Brunei Darussalam,BRN,6333082878.97992,18621.2922677806,93.216181422048,340099
2002,YR2002,Bulgaria,BGR,16403043849.8297,2092.98288625558,75.2696110143524,7837161
2002,YR2002,Burkina Faso,BFA,3622350062.96053,285.654087637533,31.3125228527966,12680897
2002,YR2002,Burundi,BDI,825394519.423728,120.952308575468,21.6738294069666,6824132
2002,YR2002,Cabo Verde,CPV,620507387.466174,1328.57874270666,101.089702293616,467046
2002,YR2002,Cambodia,KHM,4501227626.62752,350.147276634294,118.269562072288,12855241
2002,YR2002,Cameroon,CMR,12417251350.4882,789.623811072554,48.4817227279603,15725528
2002,YR2002,Canada,CAN,760649334098.005,24256.0192337185,75.7070320779233,31359199
2002,YR2002,Cayman Islands,CYM,..,..,..,42514
2002,YR2002,Central African Republic,CAF,996068144.884889,248.639290978403,36.1085647794782,4006077
2002,YR2002,Chad,TCD,1997005708.81576,219.061391951349,126.350807849912,9116192
2002,YR2002,Channel Islands,CHI,6663669064.7482,44459.7318188977,..,149881
2002,YR2002,Chile,CHL,70264045939.2773,4430.84741157984,62.4838519016295,15857925
2002,YR2002,China,CHN,1489821682050.54,1163.55957673426,42.1944423387413,1280400000
2002,YR2002,Colombia,COL,97945812802.8882,2428.92969771584,32.9826392144234,40324680
2002,YR2002,Comoros,COM,425964681.044378,762.116930318449,35.7571190715765,558923
2002,YR2002,"Congo, Dem. Rep.",COD,8728038525.14034,162.38052907429,29.3168456429821,53750524
2002,YR2002,"Congo, Rep.",COG,3034250923.97726,905.538135544704,135.45607107226,3350771
2002,YR2002,Costa Rica,CRI,16578820687.2881,4067.71851429092,80.4139443360039,4075705
2002,YR2002,Cote d'Ivoire,CIV,18054383320.8474,967.815864415991,55.9019482275388,18654771
2002,YR2002,Croatia,HRV,26757722428.6781,6219.58164143945,81.1609977960211,4302174
2002,YR2002,Cuba,CUB,33590500000,3005.21104247868,24.7293133475239,11177418
2002,YR2002,Curacao,CUW,2160784692.73743,16723.6925253468,..,129205
2002,YR2002,Cyprus,CYP,11420228846.1538,16093.2158203125,123.64133212338,981440
2002,YR2002,Czechia,CZE,82607869609.574,8101.26018588111,90.8792715456582,10196916
2002,YR2002,Denmark,DNK,178788209558.311,33257.1622586509,84.4845925538271,5375931
2002,YR2002,Djibouti,DJI,591122039.601398,743.013270420348,..,795574
2002,YR2002,Dominica,DMA,375200000,5488.02784969357,..,68367
2002,YR2002,Dominican Republic,DOM,27137440786.2562,3065.60329524196,68.7232829028777,8852235
2002,YR2002,Ecuador,ECU,27054197000,2059.1585535974,54.7966439366136,13138472
2002,YR2002,"Egypt, Arab Rep.",EGY,85146067415.7303,1116.82884626213,40.9870678279229,76239137
2002,YR2002,El Salvador,SLV,12664190300,2115.41187355626,65.9190907767708,5986631
2002,YR2002,Equatorial Guinea,GNQ,1806742742.27311,2264.21065580365,..,797957
2002,YR2002,Eritrea,ERI,729321680.154324,304.775756465092,76.5901636574451,2392978
