Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,26.1653649786118,27.2346656854177,28.2907731935054,29.3761341857934,30.49198135627,30.8638471091486,31.099929472732,32.77696058139,34.8543443263879,36.1232295355933,37.4171181945019,38.9802584977692,39.7250233813225,40.6031951918802,42.1110666482682,43.3652070588596,44.9959492816951,46.8546892967205,48.4839765113534,50.2775447311531,51.8709105683578,53.2030296061205,54.7183278904681,56.3344817012404,58.0410606687825,59.9006163469942
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,116.342481751825,115.621642335766,114.900766423358,114.179927007299,113.459051094891,112.738211678832,111.685145985401,111.350729927007,110.934890510949,110.472226277372,109.908284671533,109.21704379562,108.394781021898,107.566204379562,106.843759124088,106.314635036496,106.02901459854,105.854051094891,105.660291970803,105.441751824818,105.135145985401,104.967189781022,104.870693430657,104.612262773723,104.167554744526,103.571131386861
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,11.9535259936013,12.1898460789171,12.4191981492522,12.6185616398096,12.7949960952917,12.9753428165963,13.1547612249868,13.3309408247752,13.5093746588628,13.6993483755574,13.9012860345798,14.1172025493967,14.3548061501255,14.6182878903659,14.901057630136,15.1940329339055,15.4942924080714,15.8061610419273,16.1286164736705,16.4606678310815,16.8026368106356,17.1516218598076,17.5037080018356,17.846203680417,18.1776961381175,18.4915612115512
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,261.58,266.765,271.81,276.67,281.24,284.275,285.265,285.31,284.855,284.09,283.085,281.87,280.565,279.14,277.64,276.14,274.475,272.445,270.03,267.33,264.39,261.225,257.93,254.54,251.045,248.805
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,135.982978723404,136.136170212766,137.659574468085,139.110638297872,139.808510638298,139.755319148936,140.110638297872,141.502127659574,147.842553191489,158.13829787234,164.725531914894,169.329787234043,174.206382978723,177.648936170213,178.485106382979,171.714893617021,165.495744680851,163.476595744681,159.987234042553,156.887234042553,153.56170212766,153.576595744681,156.942553191489,159.91914893617,162.710638297872,164.63829787234
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,10.9888329189059,11.3667867169327,11.759375150397,12.1595973369696,12.5669647870378,12.9901892997513,13.4332301275367,13.8988521697281,14.392967032967,14.9197264779017,15.4737795780861,16.0546073634395,16.6668492821048,17.3086187535093,17.9792837089917,18.6851888986925,19.4259661506377,20.1952306088073,20.9879040667362,21.7861305847437,22.5858650838213,23.4082537900056,24.2518962059838,25.1039985561883,25.969063928772,26.8317413972888
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,154.975,158.209090909091,161.484090909091,164.572727272727,167.422727272727,170.254545454545,172.884090909091,175.072727272727,177.009090909091,178.906818181818,180.934090909091,183.190909090909,185.690909090909,188.436363636364,191.302272727273,193.909090909091,196.209090909091,198.318181818182,200.145454545455,201.738636363636,203.202272727273,204.475,205.609090909091,206.65,207.645454545455,208.740909090909
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,12.8147579740489,12.9769148131502,13.1354998191246,13.2908221245373,13.4449579601636,13.5981729753827,13.7482962995443,13.8961113608045,14.0404218234436,14.1835268152403,14.3300077831249,14.4781158991336,14.6223222213696,14.7711827061158,14.9285563947689,15.0870920710786,15.2485886234831,15.4061004351973,15.5598387102668,15.7212073709481,15.8867142423877,16.0413905118958,16.1833799224611,16.3171137395905,16.4335255363231,16.5133665121004
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,116.177766069547,115.164559185107,114.024903407095,112.694099051633,111.249947312961,113.140147523709,112.813487881981,112.391991570074,111.784334387074,111.166139796277,110.516332982086,109.838426413769,109.146469968388,108.433438707411,107.692307692308,106.947664207938,106.354056902002,106.220583069898,106.146821215314,105.858798735511,105.535651563049,105.103617843344,104.650509308044,104.285212504391,104.056902002107,105.027376627853
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,443.361111111111,461.227777777778,479.45,491.394444444444,498.105555555556,503.266666666667,507.994444444444,511.522222222222,517.377777777778,528.544444444444,542.416666666667,552.25,556.388888888889,560.65,564.466666666667,565.766666666667,569.95,578.388888888889,587.083333333333,593.372222222222,599.477777777778,604.038888888889,604.083333333333,605.044444444444,606.683333333333,603.261111111111
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,2.34368379261419,2.37230608021035,2.39811475729925,2.42213712039363,2.44878018301811,2.47696679379873,2.50897530687424,2.53767882014501,2.5670355232157,2.5946294729443,2.62640667508428,2.66208895773401,2.71111802454994,2.76599442875181,2.8235883784804,2.86785858401781,2.90798641031983,2.95920036968095,3.01057352615753,3.05581479504836,3.10011259648803,3.14493553058884,3.19715601363491,3.24534491589985,3.29365056253104,3.33452695130798
