Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Afghanistan,AFG,..,..,..,..,..,0.00482760061734038,0.0241685679088889,1.30694987042884,1.27849325196424,3.577104200584,4.36867310434287,3.41377297323201,1.93570171391636,0.45536044478174,0.45188914562189,1.20311798981139,0.293025179616803,0.285440893554571,0.239801184405551,0.209664794672203,0.88400046336123,0.516606084523093,0.274796791572807,0.661572217787196,0.124495985291258,0.0649939571808755
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Albania,ALB,2.40956158210409,2.78560468452093,2.07092049927343,1.73091617857629,1.25458994529204,3.9893207113692,5.10708868615592,2.99003115858884,3.06868730168473,4.60782278585291,3.17899814544722,3.55321913781567,5.86740351847628,9.40665320050491,10.9068201480963,9.01744998049889,8.08329285826067,7.49597513325321,9.80035898039468,8.64846635716115,8.62740636982337,8.71147225448456,7.71411336285186,7.83109146132114,7.70621465029911,7.01865301314463
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Algeria,DZA,2.39438994406772E-06,0.575183341190148,0.539669753188526,1.25882531840803,0.599498299671608,0.511220957154505,1.87349238167778,1.73118897497205,0.868036712018978,0.962586875552012,1.07990333031143,1.49572335207526,1.1838181536619,1.46277344571787,1.82742164668261,1.29390467487817,1.17767329101171,0.660551953898791,0.736559065111634,0.628688968391006,-0.286832290676438,0.906300705997455,0.647902696344894,0.753576088552125,0.713947308015691,0.693816014772836
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.3818111201207,9.43228927416706
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Angola,AGO,8.52948883994992,2.39900196315229,5.38231611756009,17.1216116785351,40.1672485630423,9.62386615038711,24.0090757001341,11.4061919077418,20.0810144391158,9.32923929577731,-3.52665717856752,-0.072000996349673,-1.36876239523004,1.89631389674864,3.13666068307167,-3.85111149953586,-2.70487323645008,-1.14376777921662,-5.38013099536349,2.69000564690096,11.0813390258994,-0.340242828705014,-10.0383767819736,-8.12589110876485,-5.78081314286634,-3.84826398729862
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Antigua and Barbuda,ATG,5.11080115911358,2.84946119279263,3.12414899089231,2.88356475945282,6.1986568970332,10.7107628709911,16.6117778808366,10.345363435673,12.6796769914726,10.1893673033827,10.8186629996336,22.1475235171357,23.2994751710531,9.85935759677714,6.05699272043589,7.21860114712015,5.4088284644018,9.14709758740785,7.00759321793992,3.35554163274444,7.93223201859466,6.54079848427652,9.85575663347108,12.1775193572219,7.75630247071163,6.82766026835143
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Argentina,ARG,2.17392758974997,2.55320340608332,3.12787793868196,2.43876896154487,8.46058217133802,3.66579059535379,0.806164134759348,2.19895819502207,1.29481086883944,2.5050175164097,2.64935441452167,2.38106854489628,2.25129423568361,2.68990096507093,1.20643922647566,2.67516171886535,2.04465997872008,2.80667189982932,1.77920553648531,0.962406650325519,1.97713461784426,0.584748941173009,1.78936504083806,2.23253157689253,1.48500687570697,1.26616924308721
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Armenia,ARM,1.72442275716256,1.10020924585916,3.16805363549908,12.2707797402698,6.61258080861414,5.45043315573561,3.29806741743693,4.65949974895044,4.37657009672654,6.90990201303095,5.96010687349519,7.30731450469503,7.25233231640274,8.09234920917782,8.7886942137873,5.7160373406455,6.44066805582743,4.67672759828402,3.11193185351156,3.50211415457343,1.74473701796819,3.16536727816995,2.19257337687685,2.14204783415544,0.736345856475298,0.463408850763634
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Aruba,ABW,-0.418781725888323,6.16194331983805,12.9139314369073,6.81314994968126,27.1368352788586,-6.82872717296655,-14.0750555726085,16.9490560127573,7.81642871198372,-4.68763897846137,-8.8049356352136,8.92046662114826,-17.5903165005138,0.664175810874169,-0.41563759901472,7.61167220218675,18.5057800383246,-12.0331802180755,9.97445509242152,7.46525460335849,-0.907264204095971,0.92339797912293,5.25337330818787,4.39982167334799,-2.21528256776249,6.4897764502147
