Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Trade (% of GDP) [NE.TRD.GNFS.ZS],"Population, total [SP.POP.TOTL]"
2006,YR2006,Afghanistan,AFG,6971758282.29351,274.218553561575,..,25424094
2006,YR2006,Albania,ALB,9150528132.17633,3057.77257038113,72.2019089483674,2992547
2006,YR2006,Algeria,DZA,123084258693.01,3660.66104745322,65.9152919677621,33623506
2006,YR2006,American Samoa,ASM,493000000,8745.16621137404,229.817444219067,56374
2006,YR2006,Andorra,AND,3459337986.88383,43467.2109930745,..,79585
2006,YR2006,Angola,AGO,52381025141.4268,2617.05196022633,94.6251593320477,20015279
2006,YR2006,Antigua and Barbuda,ATG,1303674074.07407,16173.8136329968,..,80604
2006,YR2006,Argentina,ARG,232557260817.308,5869.38028970204,40.4334798719151,39622115
2006,YR2006,Armenia,ARM,6384452066.5146,2041.65267068997,61.0301379818566,3127100
2006,YR2006,Aruba,ABW,2469782681.56425,24845.65848362,141.042626734626,99405
2006,YR2006,Australia,AUS,748417562769.636,36595.7071548423,41.5594471705758,20450966
2006,YR2006,Austria,AUT,333905979332.481,40382.2078298575,98.7857253161241,8268641
2006,YR2006,Azerbaijan,AZE,20981929497.6188,2472.95725732287,105.262399846369,8484550
2006,YR2006,"Bahamas, The",BHS,10167250000,29184.7865087908,87.5507143032777,348375
2006,YR2006,Bahrain,BHR,18504760638.2979,19267.282615072,147.104181068989,960424
2006,YR2006,Bangladesh,BGD,71795736172.1561,490.388026533289,38.1119244325921,146405973
2006,YR2006,Barbados,BRB,4217323400,15619.6005955511,..,270002
2006,YR2006,Belarus,BLR,36961894281.3444,3848.22350300163,124.295103889386,9604924
2006,YR2006,Belgium,BEL,408259840868.823,38705.1067959147,149.567509299511,10547958
2006,YR2006,Belize,BLZ,1591150000,5527.16775856439,98.8593155893536,287878
2006,YR2006,Benin,BEN,7034111314.88812,809.147072506221,39.7746987128551,8693242
2006,YR2006,Bermuda,BMU,6144000000,97781.4558996721,..,62834
2006,YR2006,Bhutan,BTN,942879878.538879,1405.6071618158,108.157794891125,670799
2006,YR2006,Bolivia,BOL,11451844902.2214,1202.71150446327,74.537848431547,9521689
2006,YR2006,Bosnia and Herzegovina,BIH,12864841905.9543,3166.12865344833,79.8299477752016,4063272
2006,YR2006,Botswana,BWA,9919158482.41085,5291.58379144849,86.612433913524,1874516
2006,YR2006,Brazil,BRA,1107626541434.92,5934.14470924968,26.04169989179,186653106
2006,YR2006,British Virgin Islands,VGB,..,..,..,24493
2006,YR2006,Brunei Darussalam,BRN,12644616446.1918,34674.7995990594,81.5709545655602,364663
2006,YR2006,Bulgaria,BGR,34380536495.6739,4523.1465578805,111.04746275381,7601022
2006,YR2006,Burkina Faso,BFA,6547419820.38113,455.513655620024,35.1065423554549,14373707
2006,YR2006,Burundi,BDI,1273375078.44844,161.892755640319,42.4,7865547
2006,YR2006,Cabo Verde,CPV,1107571457.90614,2256.99666191075,117.816697232822,490728
2006,YR2006,Cambodia,KHM,8350531016.65753,612.252648550727,140.348734318483,13639028
2006,YR2006,Cameroon,CMR,20910512974.933,1191.45458990968,47.1044341803567,17550407
2006,YR2006,Canada,CAN,1319264809590.97,40504.0370977806,68.0521644769988,32571193
2006,YR2006,Cayman Islands,CYM,4200288241.15296,87085.0937376216,..,48232
2006,YR2006,Central African Republic,CAF,1461859762.33459,333.942519903031,36.3958702287378,4377579
2006,YR2006,Chad,TCD,9709626596.13031,906.897260572747,77.0815766029615,10706424
2006,YR2006,Channel Islands,CHI,9676172953.08188,62745.1006593557,..,154214
2006,YR2006,Chile,CHL,153843518170.864,9318.65655296121,73.7116350448521,16509195
2006,YR2006,China,CHN,2791498472804.33,2129.25696999613,63.5695798621627,1311020000
2006,YR2006,Colombia,COL,161792958904.864,3789.85361217027,39.6413559606293,42691084
2006,YR2006,Comoros,COM,698431793.872776,1154.90422349749,35.7572745643301,604753
2006,YR2006,"Congo, Dem. Rep.",COD,14451901696.3878,238.417639415512,47.9632596230374,60615908
2006,YR2006,"Congo, Rep.",COG,8072305029.06514,2103.5821381211,125.600762974491,3837409
2006,YR2006,Costa Rica,CRI,22715540324.3032,5256.59640859159,89.8145546136931,4321340
2006,YR2006,Cote d'Ivoire,CIV,25281413263.3712,1230.43056838584,63.690377061452,20546802
2006,YR2006,Croatia,HRV,49590197656.5482,11502.753124287,83.5058793177563,4311159
2006,YR2006,Cuba,CUB,48835925925.9259,4329.98265964383,37.1880142882062,11278550
2006,YR2006,Curacao,CUW,2457581731.84358,17400.1637780186,144.555511068893,141239
2006,YR2006,Cyprus,CYP,20072754986.8272,26729.28125,109.806498040343,1054418
2006,YR2006,Czechia,CZE,156236258386.589,15259.0788162004,127.051015055016,10238905
2006,YR2006,Denmark,DNK,283386151543.687,52119.1787984282,97.4298607727841,5437272
2006,YR2006,Djibouti,DJI,768873684.032838,898.464628136774,..,855764
2006,YR2006,Dominica,DMA,416674074.074074,6055.78109574854,..,68806
2006,YR2006,Dominican Republic,DOM,37879830084.2627,4055.14270347371,63.7664826351505,9341183
2006,YR2006,Ecuador,ECU,45690762000,3243.67010359339,65.8423556166562,14086131
2006,YR2006,"Egypt, Arab Rep.",EGY,107426086956.522,1298.97900203124,61.5185365063947,82700403
2006,YR2006,El Salvador,SLV,15999890000,2665.61807194853,73.4555675070266,6002319
2006,YR2006,Equatorial Guinea,GNQ,10086528698.8604,10184.8841248541,118.532782368937,990343
2006,YR2006,Eritrea,ERI,1211161879.6748,447.997404727201,45.2608460537354,2703502
2006,YR2006,Estonia,EST,17025671810.3124,12641.4800976473,136.620737662645,1346810
2006,YR2006,Eswatini,SWZ,3291330019.17287,3035.06156119205,..,1084436
2006,YR2006,Ethiopia,ETH,15280861834.6024,189.345737521418,..,80703490
2006,YR2006,Faroe Islands,FRO,2017680834.89917,41743.6812847661,97.3947177610908,48335
2006,YR2006,Fiji,FJI,3076305452.86506,3455.10599907349,118.048331674709,890365
2006,YR2006,Finland,FIN,217044068234.117,41214.0187765069,82.0005669294983,5266268
2006,YR2006,France,FRA,2317861544690.82,36431.5658906555,57.8692775292673,63622342
2006,YR2006,French Polynesia,PYF,5877997979.62266,22330.8676659055,56.6132574828647,263223
2006,YR2006,Gabon,GAB,10327598306.4575,6847.00985685394,88.6494092562519,1508337
2006,YR2006,"Gambia, The",GMB,1054112487.74083,614.544307904464,50.374468581975,1715275
2006,YR2006,Georgia,GEO,7745250733.95067,1996.02013272284,89.125374368197,3880347
2006,YR2006,Germany,DEU,3046308753670.58,36980.3349948954,72.7591934646234,82376451
2006,YR2006,Ghana,GHA,20885037596.6963,906.441027564887,64.5190542439152,23040702
2006,YR2006,Gibraltar,GIB,..,..,..,29594
2006,YR2006,Greece,GRC,269073415333.676,24416.0232970275,51.1047465834807,11020362
2006,YR2006,Greenland,GRL,2013106929.50031,35457.6297578214,89.6938562419079,56775
2006,YR2006,Grenada,GRD,698700666.666667,6344.0383771432,..,110135
2006,YR2006,Guam,GUM,4238000000,25709.9351488422,72.7701746106654,164839
2006,YR2006,Guatemala,GTM,29744246827.1839,2225.1234753878,67.9119237396616,13367459
2006,YR2006,Guinea,GIN,4220019845.26341,446.980554135013,69.3862937148949,9441171
2006,YR2006,Guinea-Bissau,GNB,634781901.251494,448.513075469701,48.7605033860226,1415303
2006,YR2006,Guyana,GUY,2379817990.6918,3135.60553528326,..,758966
2006,YR2006,Haiti,HTI,7638739122.67242,828.805700289589,37.0570704128996,9216562
2006,YR2006,Honduras,HND,10917477066.1429,1425.84780051892,133.13183510432,7656832
2006,YR2006,"Hong Kong SAR, China",HKG,193535442896.365,28224.0951563146,359.208661184248,6857100
2006,YR2006,Hungary,HUN,115604111412.139,11478.4891640501,149.231531568461,10071370
