iso_o,iso_d,contig,comlang_off,colony,comcol,dist,log_dist,country,landlocked,continent,lat,lon,langoff_1,colonizer1,category,development
ARG,LTU,0,0,0,0,12731.28,9.45181723637882,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,LUX,0,0,0,0,11333.12,9.335484691223613,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,LVA,0,0,0,0,12773.93,9.455161654225511,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,MAR,0,0,0,0,9348.923,9.143016428482406,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,MEX,0,1,0,0,7397.651,8.90891779636749,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,MLT,0,0,0,0,10906.92,9.297152729162685,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,MMR,0,0,0,0,16823.83,9.730551612719026,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,MYS,0,0,0,0,15970.66,9.678508567844142,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,NGA,0,0,0,0,7938.363,8.979462361700326,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,NLD,0,0,0,0,11466.75,9.347206822108832,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,NOR,0,0,0,0,12270.74,9.414972845584852,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,NZL,0,0,0,0,9729.112,9.182877906883675,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,PAK,0,0,0,0,15622.21,9.656448898660868,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,PER,0,1,0,0,3133.925,8.05004149155112,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,PHL,0,0,0,0,17801.66,9.787046990358846,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,POL,0,0,0,0,12351.58,9.421539269095783,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,PRT,0,0,0,0,9621.854,9.171792248583689,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,RUS,0,0,0,0,13505.36,9.51084192266521,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,SAU,0,0,0,0,12880.18,9.463444974715973,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,SEN,0,0,0,0,6994.295,8.852850095744392,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,SGP,0,0,0,0,15891.11,9.673515112345875,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,SVK,0,0,0,0,11879.9,9.382603175372791,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,SVN,0,0,0,0,11580.75,9.357099515869084,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,SWE,0,0,0,0,12585.03,9.440263291356802,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,THA,0,0,0,0,16890.18,9.734487666938664,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,TUN,0,0,0,0,10668.78,9.275076998489588,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,TUR,0,0,0,0,12268.67,9.414804137371826,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,UKR,0,0,0,0,12845.99,9.460786979364999,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,USA,0,0,0,0,8542.694,9.052831693711093,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,VNM,0,0,0,0,17877.15,9.791278640049462,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
ARG,ZAF,0,0,0,0,6886.516,8.837320575741023,Argentina,0,America,-34.666668,-58.5,Spanish,ESP,Emerging and Developing Economies,0.0
AUS,ARG,0,0,0,0,11801.36,9.375970058049784,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,AUT,0,0,0,0,15988.95,9.679653137630615,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,BEL,0,0,0,0,16759.6,9.72672650740282,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,BGD,0,0,0,0,9077.625,9.11356787350489,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,BGR,0,0,0,0,15449.53,9.645333861151197,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,BLR,0,0,0,0,15157.96,9.62628108549793,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,BRA,0,0,0,0,13371.76,9.50090029942798,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,BRN,0,0,0,0,5756.495,8.658084061530001,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,CAN,0,1,0,0,15586.66,9.654170699201806,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,CHE,0,0,0,0,16673.2,9.721557918930246,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,CHL,0,0,0,0,11353.72,9.337300722514133,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
AUS,CHN,0,0,0,0,8956.436,9.100127658981215,Australia,0,Pacific,-35.299999,149.133,English,GBR,Advanced Economies,1.0
