iso_o,TIME_PERIOD,internet
DNK,2013,94.6
DNK,2014,96.0
DNK,2015,96.3
DNK,2016,97.0
DNK,2017,97.1
DNK,2018,97.3
DNK,2019,98.0
DNK,2020,96.5
EGY,1999,0.29
EGY,2000,0.64
EGY,2001,0.84
EGY,2002,2.72
EGY,2003,4.04
EGY,2004,11.9
EGY,2005,12.8
EGY,2006,13.7
EGY,2007,16.0
EGY,2008,18.0
EGY,2009,20.0
EGY,2010,21.6
EGY,2011,25.6
EGY,2012,26.4
EGY,2013,29.4
EGY,2014,33.9
EGY,2015,37.8
EGY,2016,41.2
EGY,2017,45.0
EGY,2018,46.9
EGY,2019,57.3
EGY,2020,71.9
EST,1999,14.5
EST,2000,28.6
EST,2001,31.5
EST,2002,41.5
EST,2003,45.3
EST,2004,53.2
EST,2005,61.5
EST,2006,63.5
EST,2007,66.2
EST,2008,70.6
EST,2009,72.5
EST,2010,74.1
EST,2011,76.5
EST,2012,78.4
EST,2013,80.0
EST,2014,84.2
EST,2015,88.4
EST,2016,87.2
EST,2017,88.1
EST,2018,89.4
EST,2019,90.2
EST,2020,89.1
FIN,1999,32.3
FIN,2000,37.2
FIN,2001,43.1
FIN,2002,62.4
FIN,2003,69.2
FIN,2004,72.4
FIN,2005,74.5
FIN,2006,79.7
FIN,2007,80.8
FIN,2008,83.7
FIN,2009,82.5
FIN,2010,86.9
FIN,2011,88.7
FIN,2012,89.9
FIN,2013,91.5
FIN,2014,86.5
FIN,2015,86.4
FIN,2016,87.7
FIN,2017,87.5
FIN,2018,88.9
FIN,2019,89.6
FIN,2020,92.2
FRA,1999,9.13
FRA,2000,14.3
FRA,2001,26.3
FRA,2002,30.2
FRA,2003,36.1
FRA,2004,39.2
FRA,2005,42.9
FRA,2006,46.9
FRA,2007,66.1
FRA,2008,70.7
FRA,2009,71.6
FRA,2010,77.3
FRA,2011,77.8
FRA,2012,81.4
FRA,2013,81.9
FRA,2014,83.8
FRA,2015,78.0
FRA,2016,79.3
FRA,2017,80.5
FRA,2018,82.0
FRA,2019,83.3
FRA,2020,84.7
DEU,1999,20.8
DEU,2000,30.2
DEU,2001,31.7
DEU,2002,48.8
DEU,2003,55.9
DEU,2004,64.7
DEU,2005,68.7
DEU,2006,72.2
DEU,2007,75.2
DEU,2008,78.0
DEU,2009,79.0
DEU,2010,82.0
DEU,2011,81.3
DEU,2012,82.4
DEU,2013,84.2
DEU,2014,86.2
DEU,2015,87.6
DEU,2016,84.2
DEU,2017,84.4
DEU,2018,87.0
DEU,2019,88.1
DEU,2020,89.8
GRC,1999,6.88
GRC,2000,9.14
GRC,2001,10.9
GRC,2002,14.7
GRC,2003,17.8
GRC,2004,21.4
GRC,2005,24.0
GRC,2006,32.3
GRC,2007,35.9
GRC,2008,38.2
GRC,2009,42.4
GRC,2010,44.4
GRC,2011,51.7
GRC,2012,55.1
GRC,2013,59.9
GRC,2014,63.2
GRC,2015,66.8
GRC,2016,69.1
GRC,2017,69.9
GRC,2018,72.2
GRC,2019,75.7
GRC,2020,78.1
HKG,1999,21.2
HKG,2000,27.8
HKG,2001,38.7
HKG,2002,43.1
HKG,2003,52.2
HKG,2004,56.4
HKG,2005,56.9
HKG,2006,60.8
HKG,2007,64.8
HKG,2008,66.7
HKG,2009,69.4
HKG,2010,72.0
HKG,2011,72.2
HKG,2012,72.9
HKG,2013,74.2
HKG,2014,79.9
HKG,2015,84.9
HKG,2016,87.5
HKG,2017,89.4
HKG,2018,90.5
HKG,2019,91.7
HKG,2020,92.4
HUN,1999,5.86
HUN,2000,7.0
HUN,2001,14.5
HUN,2002,16.7
HUN,2003,21.6
HUN,2004,27.7
HUN,2005,39.0
HUN,2006,47.1
HUN,2007,53.3
HUN,2008,61.0
HUN,2009,62.0
HUN,2010,65.0
HUN,2011,68.0
HUN,2012,70.6
HUN,2013,72.6
HUN,2014,75.7
HUN,2015,72.8
HUN,2016,79.3
HUN,2017,76.8
HUN,2018,76.1
HUN,2019,80.4
HUN,2020,84.8
ISL,1999,41.3
ISL,2000,44.5
ISL,2001,49.4
ISL,2002,79.1
ISL,2003,83.1
ISL,2004,83.9
ISL,2005,87.0
ISL,2006,89.5
ISL,2007,90.6
ISL,2008,91.0
ISL,2009,93.0
ISL,2010,93.4
ISL,2011,94.8
ISL,2012,96.2
ISL,2013,96.5
ISL,2014,98.2
ISL,2015,98.2
ISL,2016,98.2
ISL,2017,98.3
ISL,2018,99.0
ISL,2019,99.5
ISL,2020,99.5
IND,1999,0.27
IND,2000,0.53
IND,2001,0.66
IND,2002,1.54
IND,2003,1.69
IND,2004,1.98
IND,2005,2.39
IND,2006,2.81
IND,2007,3.95
IND,2008,4.38
IND,2009,5.12
IND,2010,7.5
IND,2011,10.1
IND,2012,11.1
IND,2013,12.3
IND,2014,13.5
IND,2015,14.9
IND,2016,16.5
IND,2017,18.2
IND,2018,20.1
IND,2019,29.5
IND,2020,43.4
IDN,1999,0.44
IDN,2000,0.93
IDN,2001,2.02
IDN,2002,2.13
IDN,2003,2.39
IDN,2004,2.6
IDN,2005,3.6
IDN,2006,4.76
IDN,2007,5.79
IDN,2008,7.92
IDN,2009,6.92
IDN,2010,10.9
IDN,2011,12.3
IDN,2012,14.5
IDN,2013,14.9
IDN,2014,17.1
IDN,2015,22.1
IDN,2016,25.4
IDN,2017,32.3
IDN,2018,39.9
IDN,2019,47.7
IDN,2020,53.7
IRL,1999,10.9
IRL,2000,17.9
IRL,2001,23.1
IRL,2002,25.9
IRL,2003,34.3
IRL,2004,37.0
IRL,2005,41.6
IRL,2006,54.8
IRL,2007,61.2
IRL,2008,65.3
IRL,2009,67.4
IRL,2010,69.9
IRL,2011,74.9
IRL,2012,76.9
IRL,2013,78.2
IRL,2014,83.5
IRL,2015,83.5
IRL,2016,83.5
IRL,2017,84.1
IRL,2018,87.0
IRL,2019,87.0
IRL,2020,92.0
ISR,1999,13.4
ISR,2000,20.9
ISR,2001,17.4
ISR,2002,17.8
ISR,2003,19.6
ISR,2004,22.8
ISR,2005,25.2
ISR,2006,27.9
ISR,2007,48.1
ISR,2008,59.4
ISR,2009,63.1
ISR,2010,67.5
ISR,2011,68.9
ISR,2012,70.8
ISR,2013,70.3
ISR,2014,75.0
ISR,2015,77.4
ISR,2016,79.7
ISR,2017,81.6
ISR,2018,83.7
ISR,2019,86.8
ISR,2020,90.1
ITA,1999,14.4
ITA,2000,23.1
ITA,2001,27.2
ITA,2002,28.0
ITA,2003,29.0
ITA,2004,33.2
ITA,2005,35.0
ITA,2006,38.0
ITA,2007,40.8
ITA,2008,44.5
ITA,2009,48.8
ITA,2010,53.7
ITA,2011,54.4
ITA,2012,55.8
ITA,2013,58.5
ITA,2014,55.6
ITA,2015,58.1
ITA,2016,61.3
ITA,2017,63.1
ITA,2018,74.4
ITA,2019,67.9
ITA,2020,70.5
JPN,1999,21.4
JPN,2000,30.0
JPN,2001,38.5
JPN,2002,46.6
JPN,2003,48.4
JPN,2004,62.4
JPN,2005,66.9
JPN,2006,68.7
JPN,2007,74.3
JPN,2008,75.4
JPN,2009,78.0
JPN,2010,78.2
JPN,2011,79.1
JPN,2012,79.5
JPN,2013,88.2
JPN,2014,89.1
JPN,2015,91.1
JPN,2016,93.2
JPN,2017,91.7
JPN,2018,88.7
JPN,2019,92.7
JPN,2020,90.2
JOR,1999,2.53
JOR,2000,2.62
JOR,2001,4.71
JOR,2002,6.03
JOR,2003,8.47
JOR,2004,11.7
JOR,2005,12.9
JOR,2006,13.9
JOR,2007,20.0
JOR,2008,23.0
JOR,2009,26.0
JOR,2010,27.2
JOR,2011,34.9
JOR,2012,37.0
JOR,2013,41.4
JOR,2014,46.2
JOR,2015,54.2
JOR,2016,56.2
JOR,2017,64.5
JOR,2018,65.2
JOR,2019,70.1
JOR,2020,78.4
KAZ,1999,0.46
KAZ,2000,0.67
KAZ,2001,1.01
KAZ,2002,1.67
KAZ,2003,2.0
KAZ,2004,2.65
KAZ,2005,2.96
KAZ,2006,3.27
KAZ,2007,4.02
KAZ,2008,11.0
KAZ,2009,18.2
KAZ,2010,31.6
KAZ,2011,50.6
KAZ,2012,61.9
KAZ,2013,63.3
KAZ,2014,66.0
KAZ,2015,70.8
KAZ,2016,74.6
KAZ,2017,76.4
KAZ,2018,78.9
KAZ,2019,81.9
KAZ,2020,85.9
KOR,1999,23.6
KOR,2000,44.7
KOR,2001,56.6
KOR,2002,59.4
KOR,2003,65.5
KOR,2004,72.7
KOR,2005,73.5
KOR,2006,78.1
KOR,2007,78.8
KOR,2008,81.0
KOR,2009,81.6
KOR,2010,83.7
KOR,2011,83.8
KOR,2012,84.1
KOR,2013,84.8
KOR,2014,87.6
KOR,2015,89.9
KOR,2016,92.8
KOR,2017,95.1
KOR,2018,96.0
KOR,2019,96.2
KOR,2020,96.5
LAO,1999,0.04
LAO,2000,0.11
LAO,2001,0.18
LAO,2002,0.27
LAO,2003,0.33
LAO,2004,0.36
LAO,2005,0.85
LAO,2006,1.17
LAO,2007,1.64
LAO,2008,3.55
LAO,2009,6.0
LAO,2010,7.0
LAO,2011,9.0
LAO,2012,10.7
LAO,2013,12.5
LAO,2014,14.3
LAO,2015,18.2
LAO,2016,21.9
LAO,2017,25.5
LAO,2018,36.3
LAO,2019,47.0
LAO,2020,54.0
LVA,1999,4.39
LVA,2000,6.32
LVA,2001,7.22
LVA,2002,21.9
LVA,2003,27.0
LVA,2004,38.6
LVA,2005,46.0
LVA,2006,53.6
LVA,2007,59.2
LVA,2008,63.4
LVA,2009,66.8
LVA,2010,68.4
LVA,2011,69.8
LVA,2012,73.1
LVA,2013,75.2
LVA,2014,75.8
LVA,2015,79.2
LVA,2016,79.8
LVA,2017,80.1
LVA,2018,83.6
LVA,2019,86.1
LVA,2020,88.9
LTU,1999,2.92
LTU,2000,6.43
LTU,2001,7.18
LTU,2002,17.7
LTU,2003,25.9
LTU,2004,31.2
LTU,2005,36.2
LTU,2006,43.9
LTU,2007,49.9
LTU,2008,55.2
LTU,2009,59.8
LTU,2010,62.1
LTU,2011,63.6
LTU,2012,67.2
LTU,2013,68.5
LTU,2014,72.1
LTU,2015,71.4
LTU,2016,74.4
LTU,2017,77.6
LTU,2018,79.7
LTU,2019,81.6
LTU,2020,83.1
LUX,1999,17.4
LUX,2000,22.9
LUX,2001,36.2
LUX,2002,39.8
LUX,2003,54.6
LUX,2004,65.9
LUX,2005,70.0
LUX,2006,72.5
LUX,2007,78.9
LUX,2008,82.2
LUX,2009,87.3
LUX,2010,90.6
LUX,2011,90.0
LUX,2012,91.9
LUX,2013,93.8
LUX,2014,94.7
LUX,2015,96.4
LUX,2016,98.1
LUX,2017,97.4
LUX,2018,97.1
LUX,2019,97.1
LUX,2020,98.5
MYS,1999,12.3
MYS,2000,21.4
MYS,2001,26.7
MYS,2002,32.3
MYS,2003,35.0
MYS,2004,42.3
MYS,2005,48.6
MYS,2006,51.6
MYS,2007,55.7
MYS,2008,55.8
MYS,2009,55.9
MYS,2010,56.3
MYS,2011,61.0
MYS,2012,65.8
MYS,2013,57.1
MYS,2014,63.7
MYS,2015,71.1
MYS,2016,78.8
MYS,2017,80.1
MYS,2018,81.2
MYS,2019,84.2
MYS,2020,89.6
MLT,1999,7.76
MLT,2000,13.1
MLT,2001,17.9
MLT,2002,28.9
MLT,2003,31.6
MLT,2004,34.6
MLT,2005,41.2
MLT,2006,40.4
MLT,2007,46.9
MLT,2008,50.1
MLT,2009,58.9
MLT,2010,63.0
MLT,2011,68.0
MLT,2012,68.2
MLT,2013,68.9
MLT,2014,73.1
MLT,2015,76.0
MLT,2016,78.1
MLT,2017,81.0
MLT,2018,81.7
MLT,2019,85.8
MLT,2020,86.9
MEX,1999,1.86
MEX,2000,5.08
MEX,2001,7.04
MEX,2002,11.9
MEX,2003,12.9
MEX,2004,14.1
MEX,2005,17.2
MEX,2006,19.5
MEX,2007,20.8
MEX,2008,21.7
MEX,2009,26.3
MEX,2010,31.1
MEX,2011,37.2
MEX,2012,39.8
MEX,2013,43.5
MEX,2014,44.4
MEX,2015,57.4
MEX,2016,59.5
MEX,2017,53.0
MEX,2018,56.7
MEX,2019,69.6
MEX,2020,71.5
MAR,1999,0.18
MAR,2000,0.69
MAR,2001,1.37
MAR,2002,2.37
MAR,2003,3.35
MAR,2004,11.6
MAR,2005,15.1
MAR,2006,19.8
MAR,2007,21.5
MAR,2008,33.1
MAR,2009,41.3
MAR,2010,52.0
MAR,2011,46.1
MAR,2012,55.4
MAR,2013,56.0
MAR,2014,56.8
MAR,2015,57.1
MAR,2016,58.3
MAR,2017,61.8
MAR,2018,64.8
MAR,2019,84.1
MAR,2020,84.1
MMR,1999,0.0
MMR,2000,15.558493150684928
MMR,2001,0.0
MMR,2002,0.0
MMR,2003,0.02
MMR,2004,0.02
MMR,2005,0.07
MMR,2006,0.18
MMR,2007,0.22
MMR,2008,0.22
MMR,2009,0.22
MMR,2010,0.25
MMR,2011,0.98
MMR,2012,1.4
MMR,2013,1.8
MMR,2014,7.4
MMR,2015,10.9
MMR,2016,16.0
MMR,2017,23.6
MMR,2018,29.4
MMR,2019,36.5
MMR,2020,45.4
NLD,1999,39.2
NLD,2000,44.0
NLD,2001,49.4
NLD,2002,61.3
NLD,2003,64.4
NLD,2004,68.5
NLD,2005,81.0
NLD,2006,83.7
NLD,2007,85.8
NLD,2008,87.4
NLD,2009,89.6
NLD,2010,90.7
NLD,2011,91.4
NLD,2012,92.9
NLD,2013,94.0
NLD,2014,91.7
NLD,2015,91.7
NLD,2016,90.4
NLD,2017,93.2
NLD,2018,91.9
NLD,2019,93.3
NLD,2020,91.3
NZL,1999,41.5
NZL,2000,47.4
NZL,2001,53.2
NZL,2002,59.1
NZL,2003,61.0
NZL,2004,61.8
NZL,2005,62.7
NZL,2006,69.0
NZL,2007,69.8
NZL,2008,72.0
NZL,2009,79.7
NZL,2010,80.5
NZL,2011,81.2
NZL,2012,81.6
NZL,2013,82.8
NZL,2014,84.0
NZL,2015,85.2
NZL,2016,86.5
NZL,2017,87.7
NZL,2018,89.0
NZL,2019,89.9
NZL,2020,95.2
NGA,1999,0.04
NGA,2000,0.06
NGA,2001,0.09
NGA,2002,0.32
NGA,2003,0.56
NGA,2004,1.29
NGA,2005,3.55
NGA,2006,5.55
NGA,2007,6.77
NGA,2008,8.0
NGA,2009,9.3
NGA,2010,11.5
NGA,2011,13.8
NGA,2012,16.1
NGA,2013,19.1
NGA,2014,21.0
NGA,2015,22.5
NGA,2016,24.1
NGA,2017,25.9
NGA,2018,27.7
NGA,2019,29.7
NGA,2020,31.9
NOR,1999,40.0
NOR,2000,52.0
NOR,2001,64.0
NOR,2002,72.8
NOR,2003,78.1
NOR,2004,77.7
NOR,2005,82.0
NOR,2006,82.6
NOR,2007,86.9
NOR,2008,90.6
NOR,2009,92.1
NOR,2010,93.4
NOR,2011,93.5
NOR,2012,94.7
NOR,2013,95.1
NOR,2014,96.3
NOR,2015,96.8
NOR,2016,97.3
NOR,2017,96.4
NOR,2018,96.5
NOR,2019,98.0
NOR,2020,94.6
PAK,1999,0.06
PAK,2000,15.558493150684928
PAK,2001,1.32
PAK,2002,2.58
PAK,2003,5.04
PAK,2004,6.16
PAK,2005,6.33
PAK,2006,6.5
PAK,2007,6.8
PAK,2008,7.0
PAK,2009,7.5
PAK,2010,8.0
PAK,2011,8.0
PAK,2012,8.1
PAK,2013,9.0
PAK,2014,10.0
PAK,2015,11.0
PAK,2016,12.4
PAK,2017,13.8
PAK,2018,15.3
PAK,2019,17.1
PAK,2020,18.9
PER,1999,1.95
PER,2000,3.08
PER,2001,7.58
PER,2002,8.97
PER,2003,11.6
PER,2004,14.1
PER,2005,17.1
PER,2006,20.7
PER,2007,25.2
PER,2008,30.6
PER,2009,31.4
PER,2010,34.8
PER,2011,36.0
PER,2012,38.2
PER,2013,39.2
PER,2014,40.2
PER,2015,40.9
PER,2016,45.5
PER,2017,50.5
PER,2018,55.1
PER,2019,60.0
PER,2020,65.3
PHL,1999,1.43
PHL,2000,1.98
PHL,2001,2.52
PHL,2002,4.33
PHL,2003,4.86
PHL,2004,5.24
PHL,2005,5.4
PHL,2006,5.74
PHL,2007,5.97
PHL,2008,6.22
PHL,2009,9.0
PHL,2010,25.0
PHL,2011,29.0
PHL,2012,30.8
PHL,2013,32.7
PHL,2014,34.7
PHL,2015,36.9
PHL,2016,39.2
PHL,2017,41.6
PHL,2018,44.1
PHL,2019,43.0
PHL,2020,53.8
POL,1999,5.46
POL,2000,7.29
POL,2001,9.9
POL,2002,21.2
POL,2003,24.9
POL,2004,32.5
POL,2005,38.8
POL,2006,44.6
POL,2007,48.6
POL,2008,53.1
POL,2009,59.0
POL,2010,62.3
POL,2011,62.0
POL,2012,62.3
POL,2013,62.8
POL,2014,66.6
POL,2015,68.0
POL,2016,73.3
POL,2017,76.0
POL,2018,77.5
POL,2019,80.4
POL,2020,83.2
PRT,1999,14.7
PRT,2000,16.4
PRT,2001,18.1
PRT,2002,19.4
PRT,2003,29.7
PRT,2004,31.8
PRT,2005,35.0
PRT,2006,38.0
PRT,2007,42.1
PRT,2008,44.1
PRT,2009,48.3
PRT,2010,53.3
PRT,2011,55.3
PRT,2012,60.3
PRT,2013,62.1
PRT,2014,64.6
PRT,2015,68.6
PRT,2016,70.4
PRT,2017,73.8
PRT,2018,74.7
PRT,2019,75.3
PRT,2020,78.3
RUS,1999,1.02
RUS,2000,1.98
RUS,2001,2.94
RUS,2002,4.13
RUS,2003,8.3
RUS,2004,12.9
RUS,2005,15.2
RUS,2006,18.0
RUS,2007,24.7
RUS,2008,32.0
RUS,2009,42.6
RUS,2010,49.0
RUS,2011,58.0
RUS,2012,66.0
RUS,2013,68.0
RUS,2014,70.5
RUS,2015,70.1
RUS,2016,73.1
RUS,2017,76.0
RUS,2018,80.9
