iso_o,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FRA,32152.72,33255.14,33640.67,33753.58,33840.62,34557.15,34946.04,35645.42,36322.17,36257.37,35052.85,35578.2,36269.96,36161.29,36256.09,36444.39,36702.43,36920.53,37580.6,38062.44,38705.21,35709.2
DEU,34152.0,35087.09,35601.36,35460.41,35252.97,35670.49,36006.86,37437.39,38570.91,38996.14,36927.19,38517.44,40712.66,40829.03,40875.03,41588.08,41911.01,42528.06,43520.19,43874.01,44207.63,42362.65
GRC,17358.43,18002.91,18742.42,19548.37,20632.26,21688.11,21880.53,23220.53,23973.69,23923.88,22878.13,21547.72,19448.26,17924.66,17644.88,17903.53,17980.73,18049.93,18352.09,18769.04,19216.68,17486.95
HKG,25237.69,26933.26,26885.46,27210.11,28097.14,30304.33,32401.4,34458.05,36371.7,36924.1,35938.61,38090.03,39656.34,39887.83,40959.98,41796.87,42432.16,43087.55,44380.81,45280.51,44195.3,41451.33
HUN,8578.2,8979.74,9365.95,9836.94,10253.72,10786.49,11272.73,11734.45,11791.71,11929.72,11142.89,11287.37,11536.36,11440.76,11729.57,12287.38,12782.94,13145.66,13734.24,14533.78,15290.81,14664.3
ISL,40725.89,42174.67,43288.08,43143.46,43763.78,46766.02,48850.77,50731.69,53646.37,53821.47,49527.4,48193.7,48933.55,49191.57,50946.82,51233.24,52951.68,55513.64,56501.46,57697.8,57493.42,52641.72
IND,742.54,756.7,778.51,793.62,841.28,892.6,947.73,1008.23,1069.25,1086.51,1155.1,1235.16,1281.61,1333.1,1399.45,1484.32,1584.0,1694.47,1788.7,1883.36,1936.03,1806.5
IDN,1767.51,1828.1,1868.59,1926.37,1991.92,2065.71,2155.45,2244.08,2355.15,2464.6,2546.22,2670.81,2799.62,2930.52,3055.24,3170.72,3288.22,3416.81,3553.52,3701.32,3850.9,3739.45
IRL,39501.38,42643.63,44196.92,46022.14,46643.16,48906.96,50599.6,51710.36,52904.47,49512.43,46514.54,47040.35,47607.89,47217.44,47999.12,52098.1,64311.82,64267.57,69777.98,73960.96,76464.54,80908.79
ISR,27814.03,29413.49,28808.13,28195.87,28092.62,28883.25,29623.72,30734.96,32103.16,32554.04,32178.57,33344.72,34540.67,34738.66,35489.51,36129.31,36213.1,37093.79,37963.05,38729.64,39407.2,37935.54
ITA,31405.26,32609.67,33243.6,33267.45,33110.17,33348.97,33407.68,33873.05,34159.91,33550.63,31587.06,31928.55,32039.5,30953.41,30330.02,30325.03,30639.88,31077.68,31635.52,31819.4,32180.43,29469.8
JPN,30636.27,31430.63,31476.05,31416.12,31830.22,32515.12,33098.55,33531.52,33990.04,33557.65,31651.08,32942.2,33011.13,33518.44,34239.89,34386.91,34960.64,35242.2,35861.97,36138.53,36043.78,34642.97
JOR,3341.66,3412.08,3518.77,3644.62,3713.15,3935.16,4151.61,4209.87,4287.35,4489.96,4615.23,4621.57,4631.68,4677.48,4556.52,4282.12,4042.76,3933.15,3940.7,3928.77,3919.06,3806.88
KAZ,3899.66,4269.33,4822.53,5267.7,5724.43,6233.29,6787.41,7450.4,8036.88,8216.52,8218.4,8704.71,9223.3,9531.91,9959.73,10226.71,10196.12,10151.42,10404.27,10670.21,10989.68,10565.04
KOR,15714.41,16995.56,17684.05,18940.38,19435.49,20364.76,21197.2,22196.21,23365.14,23887.06,23952.81,25455.62,26191.64,26680.28,27399.62,28100.01,28737.44,29467.12,30312.89,31059.27,31645.95,31378.16
LAO,881.63,917.23,954.12,994.49,1038.71,1088.76,1148.68,1228.09,1301.09,1381.74,1463.34,1564.91,1666.4,1774.64,1890.28,2006.31,2121.01,2234.76,2351.57,2459.98,2554.96,2529.75
LVA,5929.27,6336.38,6833.44,7443.23,8149.0,8957.23,10106.26,11507.46,12810.04,12506.69,10675.43,10500.87,11018.52,11971.01,12353.54,12731.68,13321.98,13787.34,14382.86,15120.07,15328.39,14900.73
LTU,6130.0,6384.31,6854.53,7374.1,8218.69,8851.93,9692.87,10577.21,11889.35,12324.52,10612.92,10884.12,11836.72,12516.62,13145.81,13753.19,14269.8,14823.11,15696.0,16604.9,17431.72,17443.66
LUX,87695.34,92527.71,94243.71,96269.58,97598.0,100292.57,101222.04,105614.18,112417.88,110094.79,104574.35,106544.06,105290.25,104487.74,105338.96,105583.94,105462.01,108351.45,107142.13,106788.73,107591.97,105274.25
MYS,6070.96,6455.61,6334.93,6516.91,6732.92,7025.35,7234.02,7469.81,7769.6,7976.12,7700.46,8118.92,8400.32,8710.53,8964.81,9341.73,9648.68,9901.48,10293.76,10610.2,10902.98,10171.47
MLT,14446.28,17178.29,16920.73,17255.43,17775.59,17728.49,18123.3,18479.23,19342.39,20064.44,19635.88,20750.61,20867.84,21529.49,22626.47,23865.98,25529.68,25969.44,28546.78,29536.9,29522.65,27890.37
MEX,9264.98,9581.97,9398.35,9242.28,9222.0,9421.29,9491.52,9813.83,9877.7,9826.34,9074.12,9389.07,9575.93,9782.52,9738.71,9862.48,10021.24,10100.5,10193.77,10296.87,10159.44,9234.64
MAR,1935.48,1957.14,2078.97,2127.51,2229.58,2301.08,2342.15,2489.99,2540.62,2648.59,2710.67,2767.04,2879.54,2927.45,3008.19,3051.46,3146.25,3124.43,3242.64,3304.71,3364.74,3090.89
MMR,265.46,298.59,328.97,364.86,411.5,463.33,522.1,586.09,651.73,714.62,785.63,854.93,895.51,953.12,1024.69,1099.24,1166.73,1225.38,1290.56,1361.57,1440.99,1301.31
NLD,39298.73,40665.34,41297.32,41135.42,40981.85,41663.15,42411.35,43841.12,45445.52,46227.21,44304.41,44659.27,45239.73,44631.87,44487.03,45042.07,45793.81,46655.04,47670.11,48463.03,49254.02,47086.58
NZL,30169.74,30853.81,31718.76,32641.82,33517.09,34372.59,35126.33,35665.35,36414.32,35739.36,35370.59,35489.76,35957.52,36607.15,37267.66,38056.26,38665.37,39235.37,39722.61,40371.55,40655.08,39646.35
