iso_o,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
JPN,30.0,38.5,46.6,48.4,62.4,66.9,68.7,74.3,75.4,78.0,78.2,79.1,79.5,88.2,89.1,91.1,93.2,91.7,88.7,92.7,90.2
JOR,2.62,4.71,6.03,8.47,11.7,12.9,13.9,20.0,23.0,26.0,27.2,34.9,37.0,41.4,46.2,54.2,56.2,64.5,65.2,70.1,78.4
KAZ,0.67,1.01,1.67,2.0,2.65,2.96,3.27,4.02,11.0,18.2,31.6,50.6,61.9,63.3,66.0,70.8,74.6,76.4,78.9,81.9,85.9
KOR,44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81.0,81.6,83.7,83.8,84.1,84.8,87.6,89.9,92.8,95.1,96.0,96.2,96.5
LAO,0.11,0.18,0.27,0.33,0.36,0.85,1.17,1.64,3.55,6.0,7.0,9.0,10.7,12.5,14.3,18.2,21.9,25.5,36.3,47.0,54.0
LVA,6.32,7.22,21.9,27.0,38.6,46.0,53.6,59.2,63.4,66.8,68.4,69.8,73.1,75.2,75.8,79.2,79.8,80.1,83.6,86.1,88.9
LTU,6.43,7.18,17.7,25.9,31.2,36.2,43.9,49.9,55.2,59.8,62.1,63.6,67.2,68.5,72.1,71.4,74.4,77.6,79.7,81.6,83.1
LUX,22.9,36.2,39.8,54.6,65.9,70.0,72.5,78.9,82.2,87.3,90.6,90.0,91.9,93.8,94.7,96.4,98.1,97.4,97.1,97.1,98.5
MYS,21.4,26.7,32.3,35.0,42.3,48.6,51.6,55.7,55.8,55.9,56.3,61.0,65.8,57.1,63.7,71.1,78.8,80.1,81.2,84.2,89.6
MLT,13.1,17.9,28.9,31.6,34.6,41.2,40.4,46.9,50.1,58.9,63.0,68.0,68.2,68.9,73.1,76.0,78.1,81.0,81.7,85.8,86.9
MEX,5.08,7.04,11.9,12.9,14.1,17.2,19.5,20.8,21.7,26.3,31.1,37.2,39.8,43.5,44.4,57.4,59.5,53.0,56.7,69.6,71.5
MAR,0.69,1.37,2.37,3.35,11.6,15.1,19.8,21.5,33.1,41.3,52.0,46.1,55.4,56.0,56.8,57.1,58.3,61.8,64.8,84.1,84.1
MMR,15.558493150684928,0.0,0.0,0.02,0.02,0.07,0.18,0.22,0.22,0.22,0.25,0.98,1.4,1.8,7.4,10.9,16.0,23.6,29.4,36.5,45.4
