iso_o,iso_d,log_dist
AUT,NZL,9.815874721982288
AUT,PAK,8.500229925316205
AUT,PER,9.329840155399705
AUT,PHL,9.195566777867564
AUT,POL,6.322250109488957
AUT,PRT,7.7403452205495045
AUT,RUS,7.4239856706409695
AUT,SAU,8.22547364599534
AUT,SEN,8.487581459773956
AUT,SGP,9.182331253354471
AUT,SVK,4.087944626251429
AUT,SVN,5.627205199872345
AUT,SWE,7.12472782877268
AUT,THA,9.041973908338516
AUT,TUN,7.217124965731175
AUT,TUR,7.150717143744008
AUT,UKR,6.958908363540749
AUT,USA,8.82448684350399
AUT,VNM,9.018525172830989
AUT,ZAF,9.12103013645311
BEL,ARG,9.334923346665123
BEL,AUS,9.72672650740282
BEL,AUT,6.818337335806396
BEL,BGD,8.952138393166887
BEL,BGR,7.438198807101722
BEL,BLR,7.378947576481763
BEL,BRA,9.176341091387256
BEL,BRN,9.306436606394978
BEL,CAN,8.704756652061588
BEL,CHE,6.18919900422016
BEL,CHL,9.38470871900906
BEL,CHN,8.983542652313709
BEL,CIV,8.541986872069792
BEL,CMR,8.570167162674855
BEL,COL,9.090895806743708
BEL,CRI,9.110128799949862
BEL,CYP,7.974180063397002
BEL,CZE,6.577067301234252
BEL,DEU,5.282574596865876
BEL,DNK,6.64269212578871
BEL,EGY,8.074784184245347
BEL,ESP,7.182838315857403
BEL,EST,7.378444922866013
BEL,FIN,7.409488895429901
BEL,FRA,5.569810985203274
BEL,GBR,5.780063037405839
BEL,GRC,7.6445484627934395
BEL,HKG,9.14900918184914
BEL,HRV,6.93187406843091
BEL,HUN,7.029954327462904
BEL,IDN,9.342795685835569
BEL,IND,8.767110933674044
BEL,IRL,6.653673152727677
BEL,ISL,7.665363477676373
BEL,ISR,8.084951365478307
BEL,ITA,7.068941721112799
BEL,JOR,8.11044616199794
BEL,JPN,9.155172528576854
BEL,KAZ,8.583959479237869
BEL,KHM,9.184779149753666
BEL,KOR,9.073616918713993
BEL,LAO,9.109252161456537
BEL,LTU,7.292632571614548
BEL,LUX,5.2354260214042645
BEL,LVA,7.283492870617311
BEL,MAR,7.6393940608040305
BEL,MEX,9.133389454788807
BEL,MLT,7.523500221092731
BEL,MMR,9.071335283115133
BEL,MYS,9.236127020037786
BEL,NGA,8.505223641311327
BEL,NLD,5.153484061523946
BEL,NOR,6.991887765941714
BEL,NZL,9.852816695972905
BEL,PAK,8.657322370699493
BEL,PER,9.255772523374016
BEL,PHL,9.26063416703065
BEL,POL,7.056730302463013
BEL,PRT,7.445064690713489
BEL,RUS,7.723673036709505
BEL,SAU,8.44168312910102
BEL,SEN,8.407274302141655
BEL,SGP,9.265914142042233
BEL,SVK,6.878672443450465
BEL,SVN,6.820883128663661
BEL,SWE,7.157514275984539
BEL,THA,9.13351785724483
BEL,TUN,7.394193123691293
BEL,TUR,7.6868012178009835
BEL,UKR,7.516056191556928
BEL,USA,8.681301726820829
BEL,VNM,9.103862565714937
BEL,ZAF,9.162800865408396
BGD,ARG,9.728443450712403
BGD,AUS,9.11356787350489
BGD,AUT,8.841007221338394
BGD,BEL,8.952138393166887
BGD,BGR,8.766989734959411
BGD,BLR,8.722942333348357
BGD,BRA,9.659228887992771
BGD,BRN,8.12096627946539
BGD,CAN,9.430673577966747
BGD,CHE,8.935338629908404
BGD,CHL,9.79192506658038
BGD,CHN,8.01837452806485
BGD,CIV,9.232475570828532
BGD,CMR,9.072118567978803
BGD,COL,9.711498011025583
BGD,CRI,9.695004755245584
BGD,CYP,8.629895430546801
BGD,CZE,8.85828346276759
BGD,DEU,8.926674888885236
BGD,DNK,8.86828137845024
BGD,EGY,8.6739362224813
BGD,ESP,9.066639848563533
BGD,EST,8.762744600914647
BGD,FIN,8.762441815403006
BGD,FRA,8.976741099620696
BGD,GBR,8.988683215429734
BGD,GRC,8.768313867595085
BGD,HKG,7.79948893907985
BGD,HRV,8.84936792125482
BGD,HUN,8.81258908569734
BGD,IDN,8.234128177261367
BGD,IND,7.259776008850066
BGD,IRL,9.029245382640713
BGD,ISL,9.067347560961313
BGD,ISR,8.610591544844606
BGD,ITA,8.897205644841867
BGD,JOR,8.590630996200822
BGD,JPN,8.497718382381779
BGD,KAZ,7.823948406093102
BGD,KHM,7.623803712507882
BGD,KOR,8.242777134972064
BGD,LAO,7.26180006709148
BGD,LTU,8.747276606076097
BGD,LUX,8.939596304830262
BGD,LVA,8.763297827823656
BGD,MAR,9.12564376837573
BGD,MEX,9.624087092668647
BGD,MLT,8.891835452047523
BGD,MMR,6.886713750564792
BGD,MYS,7.860741229940075
BGD,NGA,9.14998646976189
BGD,NLD,8.94268521539151
BGD,NOR,8.878870243924087
BGD,NZL,9.34232869968816
BGD,PAK,7.606296883439385
BGD,PER,9.808113120667684
BGD,PHL,8.120823296176802
BGD,POL,8.789396737159088
BGD,PRT,9.122859066405594
BGD,RUS,8.621265778049423
BGD,SAU,8.39150615125205
BGD,SEN,9.314996739780089
BGD,SGP,7.96825474722378
BGD,SVK,8.83248337834694
BGD,SVN,8.864880588076918
BGD,SWE,8.819815648420587
BGD,THA,7.338641189770455
BGD,TUN,8.939203470202163
BGD,TUR,8.692548372597761
BGD,UKR,8.68133414472186
BGD,USA,9.447815139088153
BGD,VNM,7.391566887787034
BGD,ZAF,9.204589266023998
BGR,ARG,9.388891496281326
BGR,AUS,9.645333861151197
BGR,AUT,6.710192847857516
BGR,BEL,7.438198807101722
BGR,BGD,8.766989734959411
BGR,BLR,7.156513554196743
BGR,BRA,9.236697939223415
BGR,BRN,9.188205288618027
BGR,CAN,8.952834775044195
BGR,CHE,7.198611309096984
BGR,CHL,9.453780546197704
BGR,CHN,8.904419241216893
BGR,CIV,8.50762334616924
BGR,CMR,8.40631123841702
BGR,COL,9.244550476044678
BGR,CRI,9.273044712031593
BGR,CYP,7.094750895320972
BGR,CZE,6.975288685968704
BGR,DEU,7.3599748297904775
BGR,DNK,7.402076450488161
BGR,EGY,7.360657255014923
BGR,ESP,7.720816112709007
BGR,EST,7.532039936702234
BGR,FIN,7.574274562997179
BGR,FRA,7.473470711915982
BGR,GBR,7.6105264995444175
BGR,GRC,6.25516196099829
BGR,HKG,9.03922578188031
BGR,HRV,6.522807983540587
BGR,HUN,6.450413706475842
BGR,IDN,9.205012906197435
BGR,IND,8.523086591170498
BGR,IRL,7.81412172766388
BGR,ISL,8.218544808178416
BGR,ISR,7.346893690497106
BGR,ITA,6.79465085652634
BGR,JOR,7.397207919087561
BGR,JPN,9.126032246997152
BGR,KAZ,8.364770417898676
BGR,KHM,9.04358967764915
BGR,KOR,9.017270781448701
BGR,LAO,8.963606494081096
BGR,LTU,7.2045105650589445
BGR,LUX,7.3305342991872395
BGR,LVA,7.3719501952728335
BGR,MAR,7.93151362502203
BGR,MEX,9.301783995367199
BGR,MLT,6.9711290595727124
BGR,MMR,8.90533348790593
BGR,MYS,9.08618658611654
BGR,NGA,8.406855644192142
BGR,NLD,7.464556824936477
BGR,NOR,7.650184407527933
BGR,NZL,9.783310027376551
BGR,PAK,8.391209698734054
BGR,PER,9.373185148380088
BGR,PHL,9.162320241254882
BGR,POL,6.985105133409469
BGR,PRT,7.920878667468048
BGR,RUS,7.487676648943295
BGR,SAU,7.985679708652075
BGR,SEN,8.513301026760862
BGR,SGP,9.121263882290235
BGR,SVK,6.655247538987935
BGR,SVN,6.678653135464735
BGR,SWE,7.543918795138444
BGR,THA,8.980362519940392
BGR,TUN,7.163978417585173
BGR,TUR,6.219255084438353
BGR,UKR,6.930057720314466
BGR,USA,8.934442327664565
BGR,VNM,8.969509569379467
BGR,ZAF,9.052485255856196
BLR,ARG,9.458710247090131
BLR,AUS,9.62628108549793
BLR,AUT,6.905978701803032
BLR,BEL,7.378947576481763
BLR,BGD,8.722942333348357
BLR,BGR,7.156513554196743
BLR,BRA,9.317869235068624
BLR,BRN,9.149265073620331
BLR,CAN,8.876016206597109
