iso_o,iso_d,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARG,HKG,119.8871,137.1953,120.0671,141.5529,161.9366,163.049,166.2782,188.4987,190.207,247.5577,240.6571,249.6723,229.0767,235.2758,251.5385,158.1125,164.8988,170.8571,185.1295,177.1632,130.052
ARG,HRV,3.6356,5.4443,8.8418,12.0557,28.588,54.1292,38.5165,30.9879,44.206,25.5422,26.4765,36.0309,28.7795,38.1017,91.9187,128.2078,77.8552,54.6773,31.4144,32.0621,23.0901
ARG,HUN,9.8709,11.958,15.3995,19.2328,13.3972,9.9413,10.4328,13.3248,21.545,13.0395,9.0982,12.5935,13.5572,15.0707,11.7266,10.0726,9.4579,10.2407,11.7589,12.0693,12.254
ARG,IDN,76.7387,36.1773,72.6274,69.5049,274.7405,359.0158,324.9271,410.758,489.3349,595.3131,845.1667,1398.9599,1556.5839,1487.7087,1282.5607,1119.5567,1232.5911,1051.8653,1282.3355,1618.2176,1445.521
ARG,IND,382.0,434.5314,372.4795,538.4513,531.9089,668.4588,907.2311,769.6165,685.4355,603.6226,1131.9759,991.1793,1143.6059,1074.3958,1819.5298,2010.958,2270.9853,2162.1798,1619.3502,2059.2416,2423.789
ARG,IRL,27.7547,25.6825,34.7781,59.4537,46.492,74.9347,94.8045,125.7538,148.224,119.8116,128.5985,223.6277,271.1295,270.3267,263.6463,231.6214,246.2893,266.9756,309.0019,304.2346,402.4437
ARG,ISL,0.4033,0.1799,0.1578,0.4861,0.5985,1.5136,1.6416,2.8319,3.4225,3.5721,4.4557,6.3559,29.7384,2.6793,2.188,1.9866,2.586,2.293,5.0816,3.9334,2.7167
ARG,ISR,66.0306,72.6745,54.6437,88.0456,165.5553,188.2258,130.7915,192.5163,196.6679,176.4883,201.4658,218.4645,209.2147,196.5503,166.6534,165.5751,172.4886,167.8501,266.7203,245.4104,248.2096
ARG,ITA,794.2145,846.2669,895.0827,994.0571,1056.6355,1047.0566,1143.7488,1416.5227,1776.746,1465.4217,1576.2638,1972.172,1175.3205,1039.6582,1051.6421,906.7376,992.1665,1027.5794,1082.683,1007.5423,853.1722
ARG,JOR,91.8971,109.7965,102.2604,100.4775,74.5529,80.0493,58.2968,45.7009,54.3784,84.0119,117.8526,213.8637,280.5814,261.9458,284.7574,228.4127,242.409,258.7176,234.7937,210.6182,222.7606
ARG,JPN,400.2472,366.1678,410.8842,382.0459,414.4447,293.4688,428.3359,697.1675,580.891,536.0626,882.8635,948.7672,1168.0194,1590.2205,805.261,657.1462,677.9057,653.1996,569.1871,498.1554,404.2729
ARG,KAZ,2.0229,3.1574,4.4734,0.4549,2.2449,10.1658,22.0779,24.3984,30.7586,40.7895,32.3885,24.8238,37.5345,55.6619,23.0008,15.1951,8.5651,17.7377,16.8079,16.3413,12.3049
ARG,KHM,0.145,0.8133,0.5477,0.1708,1.3971,2.0833,1.7961,2.8323,3.8883,7.9277,12.7625,16.8475,14.7975,19.5958,18.4183,11.2708,19.5251,19.2728,28.7213,36.1607,29.2613
ARG,KOR,162.6606,368.5689,350.6729,418.48,373.998,340.5706,478.2361,670.2677,723.7395,602.4143,750.0555,961.4846,1333.4132,1047.8975,472.2862,608.1546,808.9205,531.216,340.2075,810.9612,750.1914
ARG,LAO,0.0027,0.0,0.002,0.0,0.0562,0.0,0.0,0.0426,0.0,0.0106,0.0045,0.0107,0.012,0.0,0.0039,0.1718,0.1293,0.3371,0.3247,0.3771,0.2907
ARG,LTU,11.3336,6.4005,7.3228,15.1202,13.917,14.4931,14.236,18.0376,26.0494,20.7169,23.8859,61.306,118.1745,85.891,45.8974,36.9849,34.6872,43.8592,33.8338,35.1715,34.287
ARG,LUX,6.5693,2.1664,1.2663,0.8212,0.7916,0.9188,0.9314,1.4451,3.6126,2.6521,3.2242,7.6898,8.426,6.4846,12.2312,8.2162,9.5113,10.4258,17.5021,299.216,11.845
ARG,LVA,1.3568,1.9598,2.1797,3.5196,5.6498,21.231,19.0269,6.6189,20.6241,15.2069,27.0162,91.6729,96.9506,153.6202,193.891,109.8147,56.534,41.1894,80.8164,46.9686,50.2365
ARG,MAR,88.6903,125.6521,106.3604,190.0911,231.3177,224.403,268.1593,387.3605,605.385,154.7693,288.0338,487.8839,554.417,491.8892,529.0781,349.2801,383.8582,514.1332,371.9733,649.8625,519.5699
ARG,MEX,285.7025,450.1044,664.8796,793.2968,1033.2359,1233.7656,1621.3675,1469.4749,1348.0332,999.2712,1092.1295,963.2986,917.7187,1040.6876,1016.5442,979.0827,856.7214,742.4846,821.1646,756.9829,533.5645
ARG,MLT,4.6967,3.4264,3.0539,5.7234,6.4908,1.6404,3.203,2.0751,4.1623,2.9909,2.1422,2.5097,2.4624,1.1701,7.0689,7.7945,5.9392,116.5248,270.1487,61.3263,1.9418
ARG,MMR,0.0135,0.0147,0.0001,0.0413,0.0731,0.0281,0.1531,0.3482,0.2857,0.5241,0.616,0.529,2.6703,2.5456,4.2107,11.2775,8.9554,6.7275,3.2504,2.8295,23.1691
ARG,MYS,215.3508,270.4755,255.5129,191.3184,304.2181,486.3287,519.0242,584.602,529.3371,545.8356,843.1633,944.3653,1003.0373,1078.4918,1055.4828,861.5632,892.1918,920.2058,993.554,921.7437,995.6883
ARG,NGA,47.0408,48.9269,61.7373,65.1072,80.3361,89.4907,149.7914,331.2663,180.3041,80.8009,89.7559,172.6898,165.8807,105.6205,84.0359,93.6597,35.7495,80.0844,70.5013,112.9164,153.5571
