iso_o,iso_d,contig,comlang_off,colony,comcol,dist,log_dist
AUS,JOR,0,0,0,0,14083.24,9.552740716876315
AUS,JPN,0,0,0,0,7831.446,8.965902446264145
AUS,KAZ,0,0,0,0,11415.23,9.34270370768776
AUS,KHM,0,0,0,0,7037.221,8.858968626901857
AUS,KOR,0,0,0,0,8329.652,9.027576957577534
AUS,LAO,0,0,0,0,7731.611,8.953072528664267
AUS,LTU,0,0,0,0,15291.39,9.635045203882036
AUS,LUX,0,0,0,0,16686.87,9.722377461620962
AUS,LVA,0,0,0,0,15331.2,9.637645246688804
AUS,MAR,0,0,0,0,18008.29,9.7985874864107
AUS,MEX,0,0,0,0,12985.17,9.471563216040414
AUS,MLT,0,1,0,0,16101.02,9.686637903003039
AUS,MMR,0,0,0,0,8107.946,9.000599847460911
AUS,MYS,0,0,0,0,6617.087,8.79741052187787
AUS,NGA,0,1,0,0,15521.28,9.649967264563202
AUS,NLD,0,0,0,0,16658.11,9.72065246390727
AUS,NOR,0,0,0,0,15963.53,9.678062024492426
AUS,NZL,0,1,0,0,2333.461,7.755107852158283
AUS,PAK,0,1,0,0,11079.12,9.312817534764479
AUS,PER,0,0,0,0,12809.17,9.457916599661248
AUS,PHL,0,1,0,0,6275.747,8.744447800739533
AUS,POL,0,0,0,0,15607.68,9.655518379786262
AUS,PRT,0,0,0,0,18190.62,9.808661355593202
AUS,RUS,0,0,0,0,14503.07,9.582115630136204
AUS,SAU,0,0,0,0,12782.14,9.455804163052763
AUS,SEN,0,0,0,0,17604.14,9.775889380637373
AUS,SGP,0,1,0,0,6301.786,8.748588364266833
AUS,SVK,0,0,0,0,15930.48,9.675989534276882
AUS,SVN,0,0,0,0,16152.8,9.689848688236165
AUS,SWE,0,0,0,0,15608.91,9.655597184037504
AUS,THA,0,0,0,0,7539.52,8.927913798498134
AUS,TUN,0,0,0,0,16498.66,9.711034444469577
AUS,TUR,0,0,0,0,14960.31,9.613155973238905
AUS,UKR,0,0,0,0,14956.91,9.612928679391775
AUS,USA,0,1,0,0,16008.79,9.68089322537072
AUS,VNM,0,0,0,0,7769.68,8.957984258472424
AUS,ZAF,0,1,0,0,11015.12,9.307024153412236
AUT,ARG,0,0,0,0,11833.76,9.37871174248341
AUT,AUS,0,0,0,0,15988.95,9.679653137630615
AUT,BEL,0,1,0,0,914.4633,6.818337335806396
AUT,BGD,0,0,0,0,6911.951,8.841007221338394
AUT,BGR,0,0,0,0,820.7289,6.710192847857516
AUT,BLR,0,0,0,0,998.225,6.905978701803032
AUT,BRA,0,0,0,0,10146.47,9.224881140728082
AUT,BRN,0,0,0,0,10241.08,9.234162361782062
AUT,CAN,0,0,0,0,6922.538,8.842537744376385
AUT,CHE,1,1,0,0,684.8875,6.529254591197772
AUT,CHL,0,0,0,0,12522.0,9.435242376305256
AUT,CHN,0,0,0,0,7468.012,8.918384111516241
AUT,CIV,0,0,0,0,5152.116,8.547162783058669
AUT,CMR,0,0,0,0,4959.645,8.509089444576889
AUT,COL,0,0,0,0,9738.664,9.183859220903985
AUT,CRI,0,0,0,0,9950.39,9.205367025364396
AUT,CYP,0,0,0,0,2017.949,7.609836928047121
AUT,CZE,1,0,1,0,252.4479,5.531204890791419
AUT,DEU,1,1,0,0,763.7314,6.638216156670432
AUT,DNK,0,0,0,0,868.5304,6.766802587947099
AUT,EGY,0,0,0,0,2386.201,7.777457840517968
